"Location","Parameter","AltitudeGroup","LanduseGroup","Median","LAWAState","Region","Scope","StateGroup"
"1000021","DRP","Lowland","Rural","0.007",2,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000021","TP","Lowland","Rural","0.02",2,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000021","ECOLI","Lowland","Rural","26",1,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000055","BDISC","All","All","1.4",3,"Southland","Catchment","Catchment|All"
"1000055","TURB","All","All","1.84",2,"Southland","Catchment","Catchment|All"
"1000055","NH4","All","All","0.01",3,"Southland","Catchment","Catchment|All"
"1000055","TON","All","All","0.675",4,"Southland","Catchment","Catchment|All"
"1000055","TN","All","All","0.92",4,"Southland","Catchment","Catchment|All"
"1000055","DRP","All","All","0.0065",2,"Southland","Catchment","Catchment|All"
"1000055","TP","All","All","0.015",2,"Southland","Catchment","Catchment|All"
"1000055","ECOLI","All","All","195",3,"Southland","Catchment","Catchment|All"
"1000055","BDISC","Upland","All","4.44",1,"Southland","Catchment","Catchment|Upland"
"1000055","TURB","Upland","All","1.34",2,"Southland","Catchment","Catchment|Upland"
"1000055","NH4","Upland","All","0.0075",3,"Southland","Catchment","Catchment|Upland"
"1000055","TON","Upland","All","0.2375",3,"Southland","Catchment","Catchment|Upland"
"1000055","TN","Upland","All","0.3775",3,"Southland","Catchment","Catchment|Upland"
"1000055","DRP","Upland","All","0.0038",2,"Southland","Catchment","Catchment|Upland"
"1000055","TP","Upland","All","0.0093",2,"Southland","Catchment","Catchment|Upland"
"1000055","ECOLI","Upland","All","100",3,"Southland","Catchment","Catchment|Upland"
"1000055","BDISC","Lowland","All","0.77",4,"Southland","Catchment","Catchment|Lowland"
"1000055","TURB","Lowland","All","6.85",4,"Southland","Catchment","Catchment|Lowland"
"1000055","NH4","Lowland","All","0.0225",4,"Southland","Catchment","Catchment|Lowland"
"1000055","TON","Lowland","All","0.765",4,"Southland","Catchment","Catchment|Lowland"
"1000055","TN","Lowland","All","1.215",4,"Southland","Catchment","Catchment|Lowland"
"1000055","DRP","Lowland","All","0.0205",4,"Southland","Catchment","Catchment|Lowland"
"1000055","TP","Lowland","All","0.053",4,"Southland","Catchment","Catchment|Lowland"
"1000055","ECOLI","Lowland","All","1050",4,"Southland","Catchment","Catchment|Lowland"
"1000055","BDISC","All","Rural","0.77",4,"Southland","Catchment","Catchment|Rural"
"1000055","TURB","All","Rural","4.34",3,"Southland","Catchment","Catchment|Rural"
"1000055","NH4","All","Rural","0.0163",4,"Southland","Catchment","Catchment|Rural"
"1000055","TON","All","Rural","0.72",3,"Southland","Catchment","Catchment|Rural"
"1000055","TN","All","Rural","1.0675",4,"Southland","Catchment","Catchment|Rural"
"1000055","DRP","All","Rural","0.0135",3,"Southland","Catchment","Catchment|Rural"
"1000055","TP","All","Rural","0.034",3,"Southland","Catchment","Catchment|Rural"
"1000055","ECOLI","All","Rural","623",4,"Southland","Catchment","Catchment|Rural"
"1000055","BDISC","All","Forest","4.44",1,"Southland","Catchment","Catchment|Forest"
"1000055","TURB","All","Forest","0.84",1,"Southland","Catchment","Catchment|Forest"
"1000055","NH4","All","Forest","0.005",1,"Southland","Catchment","Catchment|Forest"
"1000055","TON","All","Forest","0.025",1,"Southland","Catchment","Catchment|Forest"
"1000055","TN","All","Forest","0.11",2,"Southland","Catchment","Catchment|Forest"
"1000055","DRP","All","Forest","0.002",1,"Southland","Catchment","Catchment|Forest"
"1000055","TP","All","Forest","0.004",1,"Southland","Catchment","Catchment|Forest"
"1000055","ECOLI","All","Forest","60",3,"Southland","Catchment","Catchment|Forest"
"1000055","BDISC","Upland","Forest","4.44",1,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","TURB","Upland","Forest","0.84",2,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","NH4","Upland","Forest","0.005",1,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","TON","Upland","Forest","0.025",1,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","TN","Upland","Forest","0.11",2,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","DRP","Upland","Forest","0.002",1,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","TP","Upland","Forest","0.004",1,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","ECOLI","Upland","Forest","60",4,"Southland","Catchment","Catchment|Upland|Forest"
"1000055","BDISC","Lowland","Rural","0.77",4,"Southland","Catchment","Catchment|Lowland|Rural"
"1000055","TURB","Lowland","Rural","6.85",4,"Southland","Catchment","Catchment|Lowland|Rural"
"1000055","NH4","Lowland","Rural","0.0225",4,"Southland","Catchment","Catchment|Lowland|Rural"
"1000055","TON","Lowland","Rural","0.765",3,"Southland","Catchment","Catchment|Lowland|Rural"
"1000055","TN","Lowland","Rural","1.215",3,"Southland","Catchment","Catchment|Lowland|Rural"
"1000055","DRP","Lowland","Rural","0.0205",4,"Southland","Catchment","Catchment|Lowland|Rural"
"1000055","TP","Lowland","Rural","0.053",4,"Southland","Catchment","Catchment|Lowland|Rural"
