"","SiteID","CouncilSiteID","LawaSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","Lat","Long"
"183","SQ34412","Warren Creek Rorrisons Road","ECAN-00107","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.3919572579415","173.672968403988"
"184","SQ34417","Pahau River Dalzell's Bridge","ECAN-00172","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Environment Canterbury Regional Council","-42.8288614870321","172.897317889328"
"185","SQ34418","Dry Stream Above Hurunui Conf. NW of Pylons ","ECAN-00173","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Environment Canterbury Regional Council","-42.8336715847525","172.860187269818"
"186","SQ34538","Lee River Bridge on Brooklands Farm ","ECAN-00109","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.8555364573273","172.281227168456"
"187","SQ34540","Waikewai Creek Gullivers Rd","ECAN-00110","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.8536993716112","172.356385611425"
"188","SQ34557","Middle Creek Beach Rd ","ECAN-00111","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.3669777003676","173.684811606574"
"189","SQ34569","Te Wharau Stream Charteris Bay Road","ECAN-00155","YES","Lowland","Urban","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.6541132171042","172.702475094549"
"190","SQ34580","Hawkins River Deans Road ","ECAN-00112","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.4143876921236","172.033991225846"
"191","SQ34626","Living Springs Stream Governors Bay-Teddington Rd","ECAN-00135","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.6409683450695","172.649371974624"
"192","SQ34646","Saltwater Creek Factory Rd ","ECAN-00113","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.2548970336669","172.688681997591"
"193","SQ34704","Waiau River Leslie Hills Road","ECAN-00114","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.6882095347385","172.799011230642"
"194","SQ34705","Waiau River at Waiau","ECAN-00115","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.6543540960157","173.03486633262"
"195","SQ34706","Waiau River SH1","ECAN-00116","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.7191581335324","173.284212702636"
"196","SQ34711","Conway River SH1 ","ECAN-00136","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.5991035826002","173.417858852715"
"197","SQ34865","Waitohi River 1.6km Upstream Hurunui Confluence","ECAN-00137","YES","Upland","Exotic","Monthly","Monthly","Canterbury","Environment Canterbury Regional Council","-42.876234607501","172.749083204435"
